longitude,latitude
-51.340323,-21.294093
-53.815449,-4.460193
-53.412585,-21.224285
-46.676435,-19.531162
-66.217836,-5.086973
-68.374448,-1.95489
-48.324519,-16.003117
-58.301271,-14.729523
-48.679684,-16.99748
-55.834325,-32.356588
-67.179579,-3.951076
-66.643581,-0.889499
-54.168313,-25.75399
-46.455502,-14.743526
-62.351892,-4.373607
-58.754764,0.189283
-55.573779,-28.391612
-69.756122,-1.872074
-52.131316,-22.041176
-68.235225,-1.12029
-57.453209,-10.129574
-63.948227,-10.428913
-70.862148,-2.010383
-52.799244,-2.753704
-51.157577,-4.720631
-67.74116,-1.326851
-60.854172,-9.024108
-52.009962,-16.846331
-53.363713,-2.956979
-59.119959,-3.257584
-51.674493,2.648479
-59.096985,-11.884154
-58.62628,-11.7454
-57.450245,-4.183691
-57.265431,-6.195183
-54.45281,-10.704061
-49.878997,-28.405654
-51.170363,-4.051642
-63.952591,-9.171141
-49.225999,-17.234114
-50.404707,-14.646902
-46.960033,-14.938043
-63.20512,-5.799608
-51.489065,-16.921189
-47.085823,-23.697656
-55.295711,-4.101388
-50.979068,-18.207647
-59.777492,-4.957639
-65.821179,-5.779573
-47.236423,-22.659105
-73.013786,-5.762205
-47.961242,-14.913907
-47.279552,-24.496538
-58.790559,-0.477569
-55.551283,-22.745591
-48.575404,-20.949321
-63.297175,-0.089203
-57.203377,-12.449868
-54.182897,-27.42848
-55.622482,-14.521052
-42.279053,-19.5844
-50.520915,-4.087365
-48.041403,-21.190503
-44.412658,-17.555137
-60.26497,-17.217576
-72.000841,-9.306072
-67.552867,0.399834
-69.077728,-0.90361
-51.35549,-27.778901
-47.336801,-23.481067
-61.919833,-5.862595
-55.127346,-30.229931
-70.235463,-6.14964
-72.451645,-4.549878
-71.791629,-7.349409
-50.733562,-9.292484
-58.143647,-6.218816
-50.408321,-18.116899
-64.17036,-3.22175
-52.173502,-16.255638
-56.719168,-5.265871
-49.745594,-21.916199
-56.287318,-10.043276
-65.396779,-6.51874
-47.738868,-16.679063
-69.965005,-9.159358
-61.603147,0.803704
-54.46478,-14.070244
-44.003895,-21.229128
-66.29512,1.183941
-47.664409,-24.864055
-56.278015,-24.64422
-51.098131,-19.208403
-70.911702,-5.714128
-57.143791,-5.810303
-53.622422,-17.932534
-53.983743,-17.431315
-58.791337,-4.319383
-69.629274,-6.772528
-65.681721,0.065046
-57.259212,1.12207
-55.080564,-27.380335
-53.63245,0.498457
-57.72703,-20.248549
-46.211367,-16.719328
-66.282331,-4.805167
-56.519565,-11.149576
-57.599893,-9.636924
-46.513744,-24.687031
-48.918572,-10.399057
-52.748036,-12.188295
-62.005925,-3.734866
-48.486253,-0.546109
-50.554413,-23.854905
-46.424312,-15.687787
-47.766539,-18.525044
-69.519724,-4.886222
-49.682808,-27.538905
-53.953806,-26.638498
-54.304196,-16.249948
-51.250123,-28.631227
-45.689824,-18.756906
-45.191417,-22.62
-61.530474,-5.493337
-73.334935,-3.778092
-50.160997,-25.608242
-56.755851,-18.816614
-49.472628,-20.354326
-46.499091,-18.692441
-55.336615,-14.818881
-49.489509,-1.417711
-47.780363,-18.148752
-49.346977,-21.08602
-48.428076,-16.702173
-50.419849,-2.385712
-69.008858,-4.519621
-51.636622,-1.120033
-63.028846,-10.40014
-56.52755,-21.412593
-57.464043,-14.469641
-66.34063,-2.964014
-47.920807,-11.455551
-65.010491,0.838832
-54.468497,-29.702952
-60.384327,-6.676173
-63.308362,-8.14197
-57.390993,-19.646981
-56.492313,-2.234024
-53.538805,-29.167538
-51.51224,-9.379871
-57.221158,-23.82552
-57.51095,-12.205862
-55.832633,-31.822633
-52.964314,-20.362981
-46.898235,-16.682858
-52.052042,-15.839086
-65.057106,-3.204792
-54.501851,-12.3173
-57.695889,-27.097408
-53.181834,-20.942284
-62.167118,-12.655123
-44.845869,-22.212687
-70.05484,-2.229064
-50.359888,-22.436781
-49.529448,-23.947677
-68.184495,0.634017
-46.444909,-22.71269
-52.607249,-16.941981
-51.062537,-4.780386
-54.995761,-26.363732
-61.180285,-3.846815
-71.92687,-5.017764
-61.625506,-0.712153
-53.459912,-21.081135
-52.702339,-14.722991
-47.467761,-11.400368
-71.775259,-6.871966
-43.406595,-18.593199
-51.364282,-9.356307
-51.494086,-28.654628
-51.011989,-4.631572
-57.766492,-27.936721
-46.691272,-21.231606
-53.22896,-19.55733
-49.134892,-14.337359
-48.689813,-25.369711
-46.365363,-19.559076
-50.072747,-27.25315
-60.241954,-9.811282
-58.617142,-2.971464
-60.639594,-10.919128
-66.4335,-2.755923
-59.047386,-7.091499
-54.663345,-25.241034
-57.886557,-2.429005
-55.183244,-11.091361
-53.11644,-13.301138
-55.885271,0.29853
-48.273406,-17.68692
-46.175442,-15.200625
-49.366467,-16.601168
-61.799544,-8.338525
-59.352306,1.584489
-69.099411,-6.225342
-63.190109,-11.022407
-70.807396,-4.170051
-57.024043,-5.127539
-50.823051,-14.813687
-51.432345,-27.400636
-63.809965,-8.563118
-54.014937,-15.109205
-47.280624,-18.799448
-62.36442,-4.764547
-55.171591,-8.778882
-51.73271,3.35333
-65.622776,-2.462499
-54.460324,-21.327678
-46.810054,-14.010929
-60.732139,-7.520833
-53.018648,-9.76456
-57.952455,-15.881045
-52.904708,-24.401306
-53.318292,-5.88221
-67.851872,-4.994306
-59.579833,-4.758784
-56.51368,-7.009392
-54.074425,-6.134394
-56.43786,-12.12723
-48.752222,-27.514261
-52.931744,-6.613181
-62.28851,-11.052477
-65.012756,-3.484533
-43.705302,-21.604027
-59.971912,-2.97037
-54.387008,-22.719415
-41.651542,-21.800994
-64.88067,-7.292018
-65.307169,-3.754267
-57.950889,0.414633
-64.042521,-3.628511
-58.47549,-5.290876
-48.805627,-26.894442
-59.079046,-1.718982
-64.341955,-0.293001
-62.427642,-0.496006
-50.178953,-23.752282
-42.892746,-18.186083
-55.928699,-29.514714
-43.207326,-20.812693
-55.953881,-20.096265
-54.805103,-27.642128
-61.042925,-16.410188
-62.893902,-2.777597
-57.413456,-4.460299
-54.156285,-2.964908
-55.997136,-6.678601
-63.915968,0.183442
-56.423869,-30.836746
-49.691086,-19.299339
-52.849371,-19.198732
-53.195342,-15.93019
-55.616734,1.288972
-55.343494,-29.041665
-62.031102,-13.449085
-67.789459,-4.182026
-47.616491,-23.130377
-56.517093,-18.81219
-64.560882,-5.030309
-47.658278,-0.73918
-61.298494,-4.617345
-71.505386,-4.616929
-56.734132,-8.890591
-62.52897,-2.058133
-57.613865,-17.09804
-50.507494,-13.741322
-57.485359,-1.778073
-50.489268,-17.497982
-59.260836,0.75995
-46.71036,-23.932854
-51.362102,-18.231085
-55.751989,-16.429083
-59.671667,-3.034752
-54.866048,-19.457682
-58.633888,-18.836443
-47.225036,-0.654735
-56.903905,-3.207564
-55.990594,-9.553258
-62.613312,-3.922786
-46.828268,-23.554834
-64.720462,-7.236073
-49.425342,-14.689896
-63.622387,-9.245208
-52.19052,-24.916238
-49.790844,-10.814729
-53.822078,-5.222437
-67.306689,-3.703223
-51.244804,-19.399032
-46.508954,-23.465041
-49.907744,-19.815752
-66.087512,-2.941721
-43.964728,-21.434094
-44.373655,-23.14452
-49.517125,-28.027851
-55.761796,-3.691779
-59.82079,-0.664619
-52.909845,-18.82743
-70.547558,-7.210303
-56.004385,-17.183283
-44.555639,-23.331331
-51.810996,-17.409926
-55.067473,-9.130063
-54.152983,-9.63749
-54.974396,-23.034194
-58.789235,-8.236556
-52.712688,1.41176
-66.271053,-3.171311
-52.466332,-24.223929
-59.280991,1.112028
-52.218422,-19.324586
-55.107961,-18.152319
-41.615262,-21.20289
-66.765369,-1.704031
-48.433019,-1.909839
-52.781207,-3.700476
-61.061186,-12.701684
-46.537738,-17.18364
-65.73145,-8.985106
-59.999113,-1.482154
-42.303888,-21.583153
-52.904666,-4.194282
-47.793949,-14.9192
-49.59641,-2.727487
-54.946108,-31.137454
-55.724035,-14.180776
-56.272549,-29.561802
-49.929532,-23.773038
-44.50735,-21.276021
-56.044913,-7.052439
-64.177959,-5.896389
-53.122491,-3.890427
-44.097241,-17.944216
-53.429955,-23.101001
-51.53302,-10.720558
-62.969991,-1.663551
-65.394415,0.735258
-61.927295,-0.058662
-63.597851,-1.728275
-57.823586,-11.369209
-57.362773,-1.022957
-68.895225,-0.584269
-72.526682,-3.735393
-53.058255,-16.47549
-60.704265,-10.335041
-51.165965,-16.336776
-57.993942,-20.395392
-55.043124,-29.870043
-65.391749,-6.256558
-64.34905,-4.564624
-67.230292,-4.788552
-52.50549,-27.368757
-56.643601,1.712388
-55.249074,-31.397115
-41.931189,-20.477232
-45.721448,-19.633934
-72.604559,-6.086805
-59.695033,-18.294781
-51.83624,-16.181768
-47.490696,-0.331597
-58.877866,-18.393575
-54.368961,-1.890798
-47.961082,-22.748608
-60.577079,-5.758789
-56.926824,-25.766809
-50.484407,-4.4964
-46.370042,-20.654991
-68.493942,-8.971938
-57.588135,-3.457433
-61.290515,1.509857
-61.067896,-2.589977
-53.529801,-5.042711
-62.697984,-4.196777
-63.377925,-4.298162
-51.048436,-15.65134
-67.52301,-7.512691
-48.421422,-2.467423
-48.694141,-0.209565
-50.874625,-2.441171
-53.164751,-14.285223
-55.79017,-14.674442
-58.231583,-13.753169
-52.845301,-26.199655
-52.502379,-11.598656
-51.196172,-16.196706
-55.21983,-23.442958
-44.657719,-18.832363
-55.33149,-21.435382
-58.65984,0.431318
-56.349186,-13.677415
-50.42801,-23.156971
-69.385552,-0.54265
-49.202355,-26.150665
-69.936056,-1.34439
-54.824832,-1.708453
-72.949877,-5.417771
-51.461654,-27.175882
-65.940019,-5.458051
-47.068934,-21.303646
-56.668413,-5.282802
-47.498036,-21.543012
-49.81397,-17.066248
-54.66772,-30.060901
-55.022578,-6.49231
-61.109317,1.356319
-70.498752,-3.770797
-49.076816,-22.442237
-55.791577,-22.051695
-57.459862,-8.469976
-59.697894,-8.286615
-62.075256,-2.268148
-55.476918,-14.443199
-72.954246,-4.816271
-60.160494,-14.684307
-45.402295,-20.396765
-55.433651,-1.051708
-67.456959,0.562033
-61.916321,-13.033874
-52.760578,-4.072246
-55.585692,0.204415
-64.786338,1.293008
-52.764128,-20.586038
-59.813986,-1.451397
-54.344436,-27.379357
-65.191868,-5.060516
-59.555898,-4.512576
-48.394575,-18.583429
-68.906995,-1.090443
-72.654437,-8.433757
-56.412387,-13.780733
-46.667879,-22.129079
-56.050751,-2.527842
-42.844508,-19.142528
-51.239529,-5.162852
-55.935725,-14.578051
-65.313794,0.474618
-53.412818,-30.282895
-54.272566,-6.524829
-54.614214,-23.722731
-58.87278,0.08566
-46.486008,-17.852531
-67.587619,-4.800017
-52.481932,-23.13129
-72.138336,-5.543215
-55.003643,-21.246849
-57.770497,-13.152778
-53.005175,-2.583848
-50.982452,-24.679256
-56.507263,-29.122325
-60.552256,-14.029369
-60.93799,-8.824406
-50.823003,-22.990764
-51.053739,-25.359921
-63.0668,-6.213572
-66.73998,-3.818257
-56.643226,-28.427959
-49.562002,-27.172601
-48.451415,-15.355227
-55.893036,-19.195686
-46.231747,-16.282949
-68.568982,-5.621535
-71.691238,-3.848233
-46.157825,-14.095669
-63.603463,0.440148
-68.243016,-8.386227
-41.830316,-19.755575
-68.665252,-5.501166
-69.434599,-2.32748
-44.832498,-19.134366
-49.205812,-1.303344
-57.922405,-0.603189
-66.509142,-4.97143
-56.30781,0.139735
-61.324742,-0.6537
-51.799805,-9.180633
-52.789169,1.788162
-62.002736,-9.156219
-70.211799,-4.887439
-43.120992,-17.527412
-59.577492,0.857456
-62.196717,-3.515226
-58.352,-4.595576
-52.746818,-1.496611
-51.826203,-10.116077
-56.525359,-21.885961
-49.152321,-22.705031
-47.884054,-24.880243
-56.00762,-12.581833
-57.46519,-1.569617
-62.214915,-13.436267
-56.565744,-8.869312
-60.926963,-2.582153
-64.345601,-4.266702
-59.536818,-14.580569
-55.93122,-30.300198
-60.75698,-15.479296
-71.686722,-3.120779
-69.841044,-3.03728
-53.934414,-3.832646
-42.104628,-22.942144
-42.526533,-18.751049
-54.45841,-1.214802
-52.54535,-24.651869
-55.96263,-3.498344
-61.419989,-0.046324
-60.74796,-3.44777
-50.634936,-13.472115
-52.791156,-26.120906
-50.026606,-14.064224
-58.103135,-3.789279
-59.329173,-10.399365
-53.842079,-7.192543
-46.069752,-14.558517
-65.688546,-1.948125
-54.825344,-15.807126
-64.294683,-1.491585
-52.9457,-21.937133
-55.10052,1.836199
-57.573108,-0.12282
-54.232069,-29.258137
-50.601091,-17.540529
-52.087355,-18.102729
-57.359049,-24.342064
-54.527453,-7.229406
-63.628932,-2.044494
-51.31768,-17.380733
-51.891652,-2.323565
-55.879506,-28.778948
-51.209049,-20.760899
-53.200101,-14.138623
-48.795298,-19.341438
-53.717064,-12.068034
-58.238873,-5.231477
-54.936016,-29.991154
-50.787877,-18.491066
-48.368196,-16.068377
-60.820338,-8.521087
-53.782371,-12.8357
-52.276792,1.022582
-61.247981,-5.626584
-46.059939,-18.702281
-67.320204,-3.736595
-53.912852,-25.339036
-49.706368,-15.810925
-67.571209,-1.770345
-49.133728,-16.387225
-59.636312,-10.096176
-44.475093,-22.171255
-57.788366,-18.287786
-60.442423,-4.846931
-66.028138,-7.989261
-64.855976,-9.897002
