VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,Y,X,COUNTRY,COUNTRY_ID,GAUL_AD0,STATUS
Aedes aegypti,402,unpublished,polygon,2,-32.21,-52.38,Brazil,BRA,37,
Aedes aegypti,403,unpublished,polygon,2,-31.56,-52.31,Brazil,BRA,37,
Aedes aegypti,404,unpublished,polygon,2,-30.8,-55.63,Brazil,BRA,37,
Aedes aegypti,405,unpublished,polygon,2,-30.37,-51.32,Brazil,BRA,37,
Aedes aegypti,406,unpublished,polygon,2,-30.34,-54.37,Brazil,BRA,37,
Aedes aegypti,407,unpublished,polygon,2,-30.29,-56.16,Brazil,BRA,37,
Aedes aegypti,408,unpublished,polygon,2,-30.21,-50.87,Brazil,BRA,37,
Aedes aegypti,409,unpublished,polygon,2,-30.17,-51.44,Brazil,BRA,37,
Aedes aegypti,410,unpublished,polygon,2,-30.1,-51.16,Brazil,BRA,37,
Aedes aegypti,411,unpublished,polygon,2,-30.03,-50.23,Brazil,BRA,37,
Aedes aegypti,412,unpublished,polygon,2,-30.0,-51.06,Brazil,BRA,37,
Aedes aegypti,413,unpublished,polygon,2,-29.92,-51.1,Brazil,BRA,37,
Aedes aegypti,414,unpublished,polygon,2,-29.92,-51.18,Brazil,BRA,37,
Aedes aegypti,415,unpublished,polygon,2,-29.89,-50.96,Brazil,BRA,37,
Aedes aegypti,416,unpublished,polygon,2,-29.8,-56.74,Brazil,BRA,37,
Aedes aegypti,417,unpublished,polygon,2,-29.74,-51.14,Brazil,BRA,37,
Aedes aegypti,418,unpublished,polygon,2,-29.73,-51.06,Brazil,BRA,37,
Aedes aegypti,419,unpublished,polygon,2,-29.71,-51.51,Brazil,BRA,37,
Aedes aegypti,420,unpublished,polygon,2,-29.62,-51.0,Brazil,BRA,37,
Aedes aegypti,421,unpublished,polygon,2,-29.55,-52.2,Brazil,BRA,37,
Aedes aegypti,422,unpublished,polygon,2,-29.46,-50.16,Brazil,BRA,37,
Aedes aegypti,423,unpublished,polygon,2,-29.45,-55.13,Brazil,BRA,37,
Aedes aegypti,424,unpublished,polygon,2,-29.19,-51.38,Brazil,BRA,37,
Aedes aegypti,425,unpublished,polygon,2,-29.11,-51.54,Brazil,BRA,37,
Aedes aegypti,426,unpublished,polygon,2,-29.1,-54.75,Brazil,BRA,37,
Aedes aegypti,427,unpublished,polygon,2,-29.08,-51.04,Brazil,BRA,37,
Aedes aegypti,428,unpublished,polygon,2,-29.05,-55.76,Brazil,BRA,37,
Aedes aegypti,429,unpublished,polygon,2,-28.89,-52.53,Brazil,BRA,37,
Aedes aegypti,430,unpublished,polygon,2,-28.72,-53.52,Brazil,BRA,37,
Aedes aegypti,431,unpublished,polygon,2,-28.71,-55.81,Brazil,BRA,37,
Aedes aegypti,432,unpublished,polygon,2,-28.65,-54.99,Brazil,BRA,37,
Aedes aegypti,433,unpublished,polygon,2,-28.58,-54.25,Brazil,BRA,37,
Aedes aegypti,434,unpublished,polygon,2,-28.53,-54.01,Brazil,BRA,37,
Aedes aegypti,435,unpublished,polygon,2,-28.49,-54.28,Brazil,BRA,37,
Aedes aegypti,436,unpublished,polygon,2,-28.49,-52.29,Brazil,BRA,37,
Aedes aegypti,437,unpublished,polygon,2,-28.46,-52.81,Brazil,BRA,37,
Aedes aegypti,438,unpublished,polygon,2,-28.46,-55.46,Brazil,BRA,37,
Aedes aegypti,439,unpublished,polygon,2,-28.41,-54.07,Brazil,BRA,37,
Aedes aegypti,440,unpublished,polygon,2,-28.39,-54.87,Brazil,BRA,37,
Aedes aegypti,441,unpublished,polygon,2,-28.37,-51.92,Brazil,BRA,37,
Aedes aegypti,442,unpublished,polygon,2,-28.37,-50.93,Brazil,BRA,37,
Aedes aegypti,443,unpublished,polygon,2,-28.3,-53.92,Brazil,BRA,37,
Aedes aegypti,444,unpublished,polygon,2,-28.28,-52.87,Brazil,BRA,37,
Aedes aegypti,445,unpublished,polygon,2,-28.27,-52.45,Brazil,BRA,37,
Aedes aegypti,446,unpublished,polygon,2,-28.25,-54.32,Brazil,BRA,37,
Aedes aegypti,447,unpublished,polygon,2,-28.25,-54.66,Brazil,BRA,37,
Aedes aegypti,448,unpublished,polygon,2,-28.25,-55.54,Brazil,BRA,37,
Aedes aegypti,449,unpublished,polygon,2,-28.21,-52.06,Brazil,BRA,37,
Aedes aegypti,450,unpublished,polygon,2,-28.21,-53.73,Brazil,BRA,37,
Aedes aegypti,451,unpublished,polygon,2,-28.2,-51.51,Brazil,BRA,37,
Aedes aegypti,452,unpublished,polygon,2,-28.19,-55.25,Brazil,BRA,37,
Aedes aegypti,453,unpublished,polygon,2,-28.18,-54.59,Brazil,BRA,37,
Aedes aegypti,454,unpublished,polygon,2,-28.18,-54.04,Brazil,BRA,37,
Aedes aegypti,455,unpublished,polygon,2,-28.16,-54.47,Brazil,BRA,37,
Aedes aegypti,456,unpublished,polygon,2,-28.14,-54.72,Brazil,BRA,37,
Aedes aegypti,457,unpublished,polygon,2,-28.1,-54.83,Brazil,BRA,37,
Aedes aegypti,458,unpublished,polygon,2,-28.09,-53.13,Brazil,BRA,37,
Aedes aegypti,459,unpublished,polygon,2,-28.08,-55.24,Brazil,BRA,37,
Aedes aegypti,460,unpublished,polygon,2,-28.06,-55.13,Brazil,BRA,37,
Aedes aegypti,461,unpublished,polygon,2,-28.06,-52.02,Brazil,BRA,37,
Aedes aegypti,462,unpublished,polygon,2,-28.03,-54.53,Brazil,BRA,37,
Aedes aegypti,463,unpublished,polygon,2,-28.02,-54.66,Brazil,BRA,37,
Aedes aegypti,464,unpublished,polygon,2,-28.01,-52.33,Brazil,BRA,37,
Aedes aegypti,465,unpublished,polygon,2,-27.99,-54.29,Brazil,BRA,37,
Aedes aegypti,466,unpublished,polygon,2,-27.98,-53.89,Brazil,BRA,37,
Aedes aegypti,467,unpublished,polygon,2,-27.98,-54.97,Brazil,BRA,37,
Aedes aegypti,468,unpublished,polygon,2,-27.96,-54.83,Brazil,BRA,37,
Aedes aegypti,469,unpublished,polygon,2,-27.94,-53.36,Brazil,BRA,37,
Aedes aegypti,470,unpublished,polygon,2,-27.94,-55.16,Brazil,BRA,37,
Aedes aegypti,471,unpublished,polygon,2,-27.93,-54.72,Brazil,BRA,37,
Aedes aegypti,472,unpublished,polygon,2,-27.92,-54.03,Brazil,BRA,37,
Aedes aegypti,473,unpublished,polygon,2,-27.91,-54.19,Brazil,BRA,37,
Aedes aegypti,474,unpublished,polygon,2,-27.9,-53.73,Brazil,BRA,37,
Aedes aegypti,475,unpublished,polygon,2,-27.85,-52.17,Brazil,BRA,37,
Aedes aegypti,476,unpublished,polygon,2,-27.85,-54.95,Brazil,BRA,37,
Aedes aegypti,477,unpublished,polygon,2,-27.85,-52.47,Brazil,BRA,37,
Aedes aegypti,478,unpublished,polygon,2,-27.84,-54.52,Brazil,BRA,37,
Aedes aegypti,479,unpublished,polygon,2,-27.81,-53.65,Brazil,BRA,37,
Aedes aegypti,480,unpublished,polygon,2,-27.81,-54.06,Brazil,BRA,37,
Aedes aegypti,481,unpublished,polygon,2,-27.79,-54.71,Brazil,BRA,37,
Aedes aegypti,482,unpublished,polygon,2,-27.78,-52.55,Brazil,BRA,37,
Aedes aegypti,483,unpublished,polygon,2,-27.76,-54.91,Brazil,BRA,37,
Aedes aegypti,484,unpublished,polygon,2,-27.74,-52.66,Brazil,BRA,37,
Aedes aegypti,485,unpublished,polygon,2,-27.74,-54.13,Brazil,BRA,37,
Aedes aegypti,486,unpublished,polygon,2,-27.72,-53.95,Brazil,BRA,37,
Aedes aegypti,487,unpublished,polygon,2,-27.72,-54.27,Brazil,BRA,37,
Aedes aegypti,488,unpublished,polygon,2,-27.69,-54.56,Brazil,BRA,37,
Aedes aegypti,489,unpublished,polygon,2,-27.69,-53.01,Brazil,BRA,37,
Aedes aegypti,490,unpublished,polygon,2,-27.68,-54.1,Brazil,BRA,37,
Aedes aegypti,491,unpublished,polygon,2,-27.65,-54.78,Brazil,BRA,37,
Aedes aegypti,492,unpublished,polygon,2,-27.64,-53.96,Brazil,BRA,37,
Aedes aegypti,493,unpublished,polygon,2,-27.63,-52.25,Brazil,BRA,37,
Aedes aegypti,494,unpublished,polygon,2,-27.63,-54.43,Brazil,BRA,37,
Aedes aegypti,495,unpublished,polygon,2,-27.59,-54.3,Brazil,BRA,37,
Aedes aegypti,496,unpublished,polygon,2,-27.59,-53.99,Brazil,BRA,37,
Aedes aegypti,497,unpublished,polygon,2,-27.58,-54.66,Brazil,BRA,37,
Aedes aegypti,498,unpublished,polygon,2,-27.54,-54.53,Brazil,BRA,37,
Aedes aegypti,499,unpublished,polygon,2,-27.53,-52.9,Brazil,BRA,37,
Aedes aegypti,500,unpublished,polygon,2,-27.5,-53.38,Brazil,BRA,37,
Aedes aegypti,501,unpublished,polygon,2,-27.49,-54.35,Brazil,BRA,37,
Aedes aegypti,502,unpublished,polygon,2,-27.48,-54.13,Brazil,BRA,37,
Aedes aegypti,503,unpublished,polygon,2,-27.46,-51.91,Brazil,BRA,37,
Aedes aegypti,504,unpublished,polygon,2,-27.43,-53.93,Brazil,BRA,37,
Aedes aegypti,505,unpublished,polygon,2,-27.36,-52.59,Brazil,BRA,37,
Aedes aegypti,506,unpublished,polygon,2,-27.36,-53.77,Brazil,BRA,37,
Aedes aegypti,507,unpublished,polygon,2,-27.32,-53.37,Brazil,BRA,37,
Aedes aegypti,508,unpublished,polygon,2,-27.26,-53.24,Brazil,BRA,37,
Aedes aegypti,509,unpublished,polygon,2,-27.25,-53.47,Brazil,BRA,37,
Aedes aegypti,510,unpublished,polygon,2,-27.2,-53.06,Brazil,BRA,37,
Aedes aegypti,511,unpublished,polygon,2,-27.17,-53.4,Brazil,BRA,37,
Aedes aegypti,512,unpublished,polygon,2,-27.11,-52.66,Brazil,BRA,37,
Aedes aegypti,513,unpublished,polygon,2,-26.72,-53.48,Brazil,BRA,37,
Aedes aegypti,514,unpublished,polygon,2,-26.25,-53.53,Brazil,BRA,37,
Aedes aegypti,515,unpublished,polygon,2,-26.25,-53.09,Brazil,BRA,37,
Aedes aegypti,516,unpublished,polygon,2,-26.15,-53.57,Brazil,BRA,37,
Aedes aegypti,517,unpublished,polygon,2,-26.15,-52.67,Brazil,BRA,37,
Aedes aegypti,518,unpublished,polygon,2,-26.07,-53.13,Brazil,BRA,37,
Aedes aegypti,519,unpublished,polygon,2,-26.07,-53.63,Brazil,BRA,37,
Aedes aegypti,520,unpublished,polygon,2,-25.97,-53.69,Brazil,BRA,37,
Aedes aegypti,521,unpublished,polygon,2,-25.91,-53.48,Brazil,BRA,37,
Aedes aegypti,522,unpublished,polygon,2,-25.88,-53.64,Brazil,BRA,37,
Aedes aegypti,523,unpublished,polygon,2,-25.78,-53.42,Brazil,BRA,37,
Aedes aegypti,524,unpublished,polygon,2,-25.77,-53.27,Brazil,BRA,37,
Aedes aegypti,525,unpublished,polygon,2,-25.74,-53.11,Brazil,BRA,37,
Aedes aegypti,526,unpublished,polygon,2,-25.73,-53.72,Brazil,BRA,37,
Aedes aegypti,527,unpublished,polygon,2,-25.67,-53.55,Brazil,BRA,37,
Aedes aegypti,528,unpublished,polygon,2,-25.61,-53.79,Brazil,BRA,37,
Aedes aegypti,529,unpublished,polygon,2,-25.55,-52.6,Brazil,BRA,37,
Aedes aegypti,530,unpublished,polygon,2,-25.55,-48.49,Brazil,BRA,37,
Aedes aegypti,531,unpublished,polygon,2,-25.5,-49.29,Brazil,BRA,37,
Aedes aegypti,532,unpublished,polygon,2,-25.49,-50.86,Brazil,BRA,37,
Aedes aegypti,533,unpublished,polygon,2,-25.48,-54.02,Brazil,BRA,37,
Aedes aegypti,534,unpublished,polygon,2,-25.46,-53.59,Brazil,BRA,37,
Aedes aegypti,535,unpublished,polygon,2,-25.45,-54.55,Brazil,BRA,37,
Aedes aegypti,536,unpublished,polygon,2,-25.45,-53.23,Brazil,BRA,37,
Aedes aegypti,537,unpublished,polygon,2,-25.45,-52.96,Brazil,BRA,37,
Aedes aegypti,538,unpublished,polygon,2,-25.44,-53.43,Brazil,BRA,37,
Aedes aegypti,539,unpublished,polygon,2,-25.44,-54.41,Brazil,BRA,37,
Aedes aegypti,540,unpublished,polygon,2,-25.4,-54.25,Brazil,BRA,37,
Aedes aegypti,541,unpublished,polygon,2,-25.39,-53.55,Brazil,BRA,37,
Aedes aegypti,542,unpublished,polygon,2,-25.33,-53.9,Brazil,BRA,37,
Aedes aegypti,543,unpublished,polygon,2,-25.31,-52.39,Brazil,BRA,37,
Aedes aegypti,544,unpublished,polygon,2,-25.3,-49.34,Brazil,BRA,37,
Aedes aegypti,545,unpublished,polygon,2,-25.29,-53.79,Brazil,BRA,37,
Aedes aegypti,546,unpublished,polygon,2,-25.27,-54.1,Brazil,BRA,37,
