X,Y,LOCATION_TYPE
-52.38,-32.21,presence
-52.31,-31.56,presence
-55.63,-30.8,presence
-51.32,-30.37,presence
-54.37,-30.34,presence
-56.16,-30.29,presence
-50.87,-30.21,presence
-51.44,-30.17,presence
-51.16,-30.1,presence
-50.23,-30.03,presence
-51.06,-30.0,presence
-51.1,-29.92,presence
-51.18,-29.92,presence
-50.96,-29.89,presence
-56.74,-29.8,presence
-51.14,-29.74,presence
-51.06,-29.73,presence
-51.51,-29.71,presence
-51.0,-29.62,presence
-52.2,-29.55,presence
-50.16,-29.46,presence
-55.13,-29.45,presence
-51.38,-29.19,presence
-51.54,-29.11,presence
-54.75,-29.1,presence
-51.04,-29.08,presence
-55.76,-29.05,presence
-52.53,-28.89,presence
-53.52,-28.72,presence
-55.81,-28.71,presence
-54.99,-28.65,presence
-54.25,-28.58,presence
-54.01,-28.53,presence
-54.28,-28.49,presence
-52.29,-28.49,presence
-52.81,-28.46,presence
-55.46,-28.46,presence
-54.07,-28.41,presence
-54.87,-28.39,presence
-51.92,-28.37,presence
-50.93,-28.37,presence
-53.92,-28.3,presence
-52.87,-28.28,presence
-52.45,-28.27,presence
-54.32,-28.25,presence
-54.66,-28.25,presence
-55.54,-28.25,presence
-52.06,-28.21,presence
-53.73,-28.21,presence
-51.51,-28.2,presence
-55.25,-28.19,presence
-54.59,-28.18,presence
-54.04,-28.18,presence
-54.47,-28.16,presence
-54.72,-28.14,presence
-54.83,-28.1,presence
-53.13,-28.09,presence
-55.24,-28.08,presence
-55.13,-28.06,presence
-52.02,-28.06,presence
-54.53,-28.03,presence
-54.66,-28.02,presence
-52.33,-28.01,presence
-54.29,-27.99,presence
-53.89,-27.98,presence
-54.97,-27.98,presence
-54.83,-27.96,presence
-53.36,-27.94,presence
-55.16,-27.94,presence
-54.72,-27.93,presence
-54.03,-27.92,presence
-54.19,-27.91,presence
-53.73,-27.9,presence
-52.17,-27.85,presence
-54.95,-27.85,presence
-52.47,-27.85,presence
-54.52,-27.84,presence
-53.65,-27.81,presence
-54.06,-27.81,presence
-54.71,-27.79,presence
-52.55,-27.78,presence
-54.91,-27.76,presence
-52.66,-27.74,presence
-54.13,-27.74,presence
-53.95,-27.72,presence
-54.27,-27.72,presence
-54.56,-27.69,presence
-53.01,-27.69,presence
-54.1,-27.68,presence
-54.78,-27.65,presence
-53.96,-27.64,presence
-52.25,-27.63,presence
-54.43,-27.63,presence
-54.3,-27.59,presence
-53.99,-27.59,presence
-54.66,-27.58,presence
-54.53,-27.54,presence
-52.9,-27.53,presence
-53.38,-27.5,presence
-54.35,-27.49,presence
-54.13,-27.48,presence
-51.91,-27.46,presence
-53.93,-27.43,presence
-52.59,-27.36,presence
-53.77,-27.36,presence
-53.37,-27.32,presence
-53.24,-27.26,presence
-53.47,-27.25,presence
-53.06,-27.2,presence
-53.4,-27.17,presence
-52.66,-27.11,presence
-53.48,-26.72,presence
-53.53,-26.25,presence
-53.09,-26.25,presence
-53.57,-26.15,presence
-52.67,-26.15,presence
-53.13,-26.07,presence
-53.63,-26.07,presence
-53.69,-25.97,presence
-53.48,-25.91,presence
-53.64,-25.88,presence
-53.42,-25.78,presence
-53.27,-25.77,presence
-53.11,-25.74,presence
-53.72,-25.73,presence
-53.55,-25.67,presence
-53.79,-25.61,presence
-52.6,-25.55,presence
-48.49,-25.55,presence
-49.29,-25.5,presence
-50.86,-25.49,presence
-54.02,-25.48,presence
-53.59,-25.46,presence
-54.55,-25.45,presence
-53.23,-25.45,presence
-52.96,-25.45,presence
-53.43,-25.44,presence
-54.41,-25.44,presence
-54.25,-25.4,presence
-53.55,-25.39,presence
-53.9,-25.33,presence
-52.39,-25.31,presence
-49.34,-25.3,presence
-53.79,-25.29,presence
-54.1,-25.27,presence
-53.54,-25.25,presence
-53.15,-25.23,presence
-52.62,-25.2,presence
-50.07,-25.15,presence
-54.33,-25.14,presence
-54.26,-25.11,presence
-54.09,-25.1,presence
-53.4,-25.06,presence
-52.86,-25.05,presence
-53.62,-25.02,presence
-52.69,-25.0,presence
